"regiao","estado","municipio","coduf","codmun","codRegiaoSaude","nomeRegiaoSaude","data","semanaEpi","populacaoTCU2019","casosAcumulado","casosNovos","obitosAcumulado","obitosNovos","Recuperadosnovos","emAcompanhamentoNovos"
"Brasil",,,"76",,,,"2020-02-26","9","210147125","1","0","0","0",,
"Brasil",,,"76",,,,"2020-02-27","9","210147125","1","0","0","0",,
"Brasil",,,"76",,,,"2020-02-28","9","210147125","1","0","0","0",,
"Brasil",,,"76",,,,"2020-02-29","9","210147125","2","1","0","0",,
"Brasil",,,"76",,,,"2020-03-01","10","210147125","2","0","0","0",,
"Brasil",,,"76",,,,"2020-03-02","10","210147125","2","0","0","0",,
"Brasil",,,"76",,,,"2020-03-03","10","210147125","2","0","0","0",,
"Brasil",,,"76",,,,"2020-03-04","10","210147125","3","1","0","0",,
"Brasil",,,"76",,,,"2020-03-05","10","210147125","7","4","0","0",,
"Brasil",,,"76",,,,"2020-03-06","10","210147125","13","6","0","0",,
"Brasil",,,"76",,,,"2020-03-07","10","210147125","19","6","0","0",,
"Brasil",,,"76",,,,"2020-03-08","11","210147125","25","6","0","0",,
"Brasil",,,"76",,,,"2020-03-09","11","210147125","25","0","0","0",,
"Brasil",,,"76",,,,"2020-03-10","11","210147125","34","9","0","0",,
"Brasil",,,"76",,,,"2020-03-11","11","210147125","52","18","0","0",,
"Brasil",,,"76",,,,"2020-03-12","11","210147125","77","25","0","0",,
"Brasil",,,"76",,,,"2020-03-13","11","210147125","98","21","0","0",,
"Brasil",,,"76",,,,"2020-03-14","11","210147125","121","23","0","0",,
"Brasil",,,"76",,,,"2020-03-15","12","210147125","200","79","0","0",,
"Brasil",,,"76",,,,"2020-03-16","12","210147125","234","34","0","0",,
"Brasil",,,"76",,,,"2020-03-17","12","210147125","291","57","1","1",,
"Brasil",,,"76",,,,"2020-03-18","12","210147125","428","137","4","3",,
"Brasil",,,"76",,,,"2020-03-19","12","210147125","621","193","6","2",,
"Brasil",,,"76",,,,"2020-03-20","12","210147125","904","283","11","5",,
"Brasil",,,"76",,,,"2020-03-21","12","210147125","1128","224","18","7",,
"Brasil",,,"76",,,,"2020-03-22","13","210147125","1546","418","25","7",,
"Brasil",,,"76",,,,"2020-03-23","13","210147125","1891","345","34","9",,
"Brasil",,,"76",,,,"2020-03-24","13","210147125","2201","310","46","12",,
"Brasil",,,"76",,,,"2020-03-25","13","210147125","2433","232","57","11",,
"Brasil",,,"76",,,,"2020-03-26","13","210147125","2915","482","77","20",,
"Brasil",,,"76",,,,"2020-03-27","13","210147125","3417","502","92","15",,
"Brasil",,,"76",,,,"2020-03-28","13","210147125","3903","486","114","22",,
"Brasil",,,"76",,,,"2020-03-29","14","210147125","4256","353","136","22",,
"Brasil",,,"76",,,,"2020-03-30","14","210147125","4579","323","159","23",,
"Brasil",,,"76",,,,"2020-03-31","14","210147125","5717","1138","201","42",,
"Brasil",,,"76",,,,"2020-04-01","14","210147125","6834","1117","241","40",,
"Brasil",,,"76",,,,"2020-04-02","14","210147125","7910","1076","299","58",,
"Brasil",,,"76",,,,"2020-04-03","14","210147125","9056","1146","359","60",,
"Brasil",,,"76",,,,"2020-04-04","14","210147125","10278","1222","432","73",,
"Brasil",,,"76",,,,"2020-04-05","15","210147125","11130","852","486","54",,
"Brasil",,,"76",,,,"2020-04-06","15","210147125","12056","926","553","67",,
"Brasil",,,"76",,,,"2020-04-07","15","210147125","13717","1661","667","114",,
"Brasil",,,"76",,,,"2020-04-08","15","210147125","15927","2210","800","133",,
"Brasil",,,"76",,,,"2020-04-09","15","210147125","17857","1930","941","141",,
"Brasil",,,"76",,,,"2020-04-10","15","210147125","19638","1781","1056","115",,
"Brasil",,,"76",,,,"2020-04-11","15","210147125","20727","1089","1124","68",,
"Brasil",,,"76",,,,"2020-04-12","16","210147125","22169","1442","1223","99",,
"Brasil",,,"76",,,,"2020-04-13","16","210147125","23430","1261","1328","105",,
"Brasil",,,"76",,,,"2020-04-14","16","210147125","25262","1832","1532","204",,
"Brasil",,,"76",,,,"2020-04-15","16","210147125","28320","3058","1736","204",,
"Brasil",,,"76",,,,"2020-04-16","16","210147125","30425","2105","1924","188",,
"Brasil",,,"76",,,,"2020-04-17","16","210147125","33682","3257","2141","217",,
"Brasil",,,"76",,,,"2020-04-18","16","210147125","36599","2917","2347","206",,
"Brasil",,,"76",,,,"2020-04-19","17","210147125","38654","2055","2462","115","22130","14062"
"Brasil",,,"76",,,,"2020-04-20","17","210147125","40581","1927","2575","113","22991","15015"
"Brasil",,,"76",,,,"2020-04-21","17","210147125","43079","2498","2741","166","24325","16013"
"Brasil",,,"76",,,,"2020-04-22","17","210147125","45757","2678","2906","165","25318","17533"
"Brasil",,,"76",,,,"2020-04-23","17","210147125","49492","3735","3313","407","26573","19606"
"Brasil",,,"76",,,,"2020-04-24","17","210147125","52995","3503","3670","357","27655","21670"
"Brasil",,,"76",,,,"2020-04-25","17","210147125","58509","5514","4016","346","29160","25333"
"Brasil",,,"76",,,,"2020-04-26","18","210147125","61888","3379","4205","189","30152","27531"
"Brasil",,,"76",,,,"2020-04-27","18","210147125","66501","4613","4543","338","31142","30816"
"Brasil",,,"76",,,,"2020-04-28","18","210147125","71886","5385","5017","474","32544","34325"
"Brasil",,,"76",,,,"2020-04-29","18","210147125","78162","6276","5466","449","34132","38564"
"Brasil",,,"76",,,,"2020-04-30","18","210147125","85380","7218","5901","435","35935","43544"
"Brasil",,,"76",,,,"2020-05-01","18","210147125","91299","5919","6329","428","38039","47221"
"Brasil",,,"76",,,,"2020-05-02","18","210147125","96396","5097","6724","395","40937","48872"
"Brasil",,,"76",,,,"2020-05-03","19","210147125","101147","4751","7025","301","42991","51131"
"Brasil",,,"76",,,,"2020-05-04","19","210147125","107780","6633","7321","296","45186","55273"
"Brasil",,,"76",,,,"2020-05-05","19","210147125","114715","6935","7921","600","48221","58573"
"Brasil",,,"76",,,,"2020-05-06","19","210147125","125218","10503","8535","614","51370","65312"
"Brasil",,,"76",,,,"2020-05-07","19","210147125","135106","9888","9146","611","55350","70610"
"Brasil",,,"76",,,,"2020-05-08","19","210147125","145328","10222","9895","749","59297","76134"
"Brasil",,,"76",,,,"2020-05-09","19","210147125","155939","10611","10627","732","61685","83627"
"Brasil",,,"76",,,,"2020-05-10","20","210147125","162699","6760","11123","496","64957","86619"
"Brasil",,,"76",,,,"2020-05-11","20","210147125","168331","5632","11519","396","67384","89429"
"Brasil",,,"76",,,,"2020-05-12","20","210147125","177589","9258","12400","881","72597","92593"
"Brasil",,,"76",,,,"2020-05-13","20","210147125","188974","11385","13149","749","78424","97402"
"Brasil",,,"76",,,,"2020-05-14","20","210147125","202918","13944","13993","844","79479","109446"
"Brasil",,,"76",,,,"2020-05-15","20","210147125","218223","15305","14817","824","84970","118436"
"Brasil",,,"76",,,,"2020-05-16","20","210147125","233142","14919","15633","816","89672","127837"
"Brasil",,,"76",,,,"2020-05-17","21","210147125","241080","7938","16118","485","94122","130840"
"Brasil",,,"76",,,,"2020-05-18","21","210147125","254220","13140","16792","674","100459","136969"
"Brasil",,,"76",,,,"2020-05-19","21","210147125","271628","17408","17971","1179","106794","146863"
"Brasil",,,"76",,,,"2020-05-20","21","210147125","291579","19951","18859","888","116683","156037"
"Brasil",,,"76",,,,"2020-05-21","21","210147125","310087","18508","20047","1188","125960","164080"
"Brasil",,,"76",,,,"2020-05-22","21","210147125","330890","20803","21046","999","135430","174412"
"Brasil",,,"76",,,,"2020-05-23","21","210147125","347398","16508","22013","967","142587","182798"
"Brasil",,,"76",,,,"2020-05-24","22","210147125","363211","15813","22666","653","149911","190634"
"Brasil",,,"76",,,,"2020-05-25","22","210147125","374898","11687","23473","807","153833","197592"
"Brasil",,,"76",,,,"2020-05-26","22","210147125","391222","16324","24512","1039","158593","208117"
"Brasil",,,"76",,,,"2020-05-27","22","210147125","411821","20599","25598","1086","166647","219576"
